filename,object
20250804_104715.h5,duck
20250804_104806.h5,duck
20250804_105355.h5,duck
20250804_105512.h5,duck
20250804_105719.h5,duck
20250804_110548.h5,duck
20250804_112112.h5,duck
20250804_112416.h5,duck
20250804_112804.h5,duck
20250804_113012.h5,duck
20250804_113654.h5,duck
20250804_114103.h5,duck
20250804_121046.h5,duck_trans
20250804_121704.h5,duck_trans
20250804_122312.h5,duck_trans
20250804_123028.h5,duck_trans
20250804_123421.h5,duck_trans
20250804_123538.h5,duck_trans
20250804_123705.h5,duck_trans
20250804_124042.h5,duck_trans
20250804_124203.h5,duck_trans
20250804_142504.h5,ball
20250804_142656.h5,ball
20250804_143714.h5,ball
20250804_144110.h5,ball
20250804_144501.h5,ball
20250804_174056.h5,ball
20250804_175047.h5,ball
20250804_175625.h5,ball
20250805_102456.h5,ball_trans
20250805_104839.h5,ball_trans
20250805_113348.h5,ball_trans
20250805_113612.h5,ball_trans
20250805_114022.h5,ball_trans
20250805_115359.h5,ball_trans
20250805_121745.h5,plant
20250805_122001.h5,plant
20250805_122306.h5,plant
20250805_122613.h5,plant
20250805_122947.h5,plant
20250805_123225.h5,plant
20250805_124319.h5,plant_trans
20250805_124653.h5,plant_trans
20250805_125024.h5,plant_trans
20250805_125343.h5,plant_trans
20250805_125637.h5,plant_trans
20250805_125929.h5,plant_trans
20250805_152324.h5,duck_bucket
20250805_152828.h5,n
20250805_153530.h5,duck_bucket
20250805_153907.h5,duck_bucket
20250805_154216.h5,duck_bucket
20250805_154526.h5,dk
20250805_154954.h5,ball_bucket
20250805_160008.h5,ball_bucket
20250805_160817.h5,ball_bucket
20250805_161122.h5,ball_bucket
20250805_161414.h5,ball_bucket
20250805_162405.h5,ball_bucket
20250805_163626.h5,n
20250805_170042.h5,plant_bucket
20250805_170318.h5,plant_bucket
20250805_170658.h5,plant_bucket
20250805_172824.h5,plant_bucket
20250805_173456.h5,plant_bucket
20250806_102854.h5,duck
20250806_103124.h5,duck
20250806_103333.h5,duck
20250806_103704.h5,duck_trans
20250806_104237.h5,duck_trans
20250806_104440.h5,duck_trans
20250806_104944.h5,ball_trans
20250806_105226.h5,ball
20250806_105427.h5,ball
20250806_105644.h5,ball
20250806_105926.h5,plant
